"allgenes.Sample" "allgenes.Score" "allgenes.Class" "perturbedgenes.Sample" "perturbedgenes.Score" "perturbedgenes.Class"
"SRR5680281" 2.45972245409422 "acute" "SRR5680281" 4.05678307035998 "acute"
"SRR5680282" 2.70635073528068 "conv" "SRR5680282" 4.22916576851205 "conv"
"SRR5680283" 2.69558035821589 "conv" "SRR5680283" 4.22914115762885 "conv"
"SRR5680284" 2.49686726165789 "acute" "SRR5680284" 4.17163968587293 "acute"
"SRR5680285" 2.38921763778806 "acute" "SRR5680285" 3.93922191843495 "acute"
"SRR5680286" 2.6984421025383 "conv" "SRR5680286" 4.15290368425511 "conv"
"SRR5680287" 2.68578879201206 "conv" "SRR5680287" 4.03531889084765 "conv"
"SRR5680288" 2.68380872807894 "acute" "SRR5680288" 4.645765461698 "acute"
"SRR5680289" 2.59668958334721 "acute" "SRR5680289" 4.42269758650208 "acute"
"SRR5680290" 3.0497404090054 "conv" "SRR5680290" 5.462407524816 "conv"
"SRR5680291" 3.0502762352915 "conv" "SRR5680291" 5.42224096477214 "conv"
"SRR5680292" 2.26570087030099 "acute" "SRR5680292" 3.6214798553978 "acute"
"SRR5680293" 2.22995504004294 "acute" "SRR5680293" 3.54420123633946 "acute"
"SRR5680296" 2.25090904721503 "acute" "SRR5680296" 3.16446227807187 "acute"
"SRR5680297" 2.18590978768167 "acute" "SRR5680297" 3.04592823665392 "acute"
"SRR5680298" 2.64733596997455 "conv" "SRR5680298" 4.65578521937597 "conv"
"SRR5680299" 2.62239802207035 "conv" "SRR5680299" 4.53137702913395 "conv"
"SRR5680300" 2.54294089450653 "acute" "SRR5680300" 4.14060967578139 "acute"
"SRR5680301" 2.4480853389444 "acute" "SRR5680301" 3.92304834804552 "acute"
"SRR5680302" 3.30387330562075 "conv" "SRR5680302" 5.90327167319871 "conv"
"SRR5680303" 3.25609758994449 "conv" "SRR5680303" 5.84048563210073 "conv"
"SRR5680304" 2.48044936387819 "acute" "SRR5680304" 4.2577138312701 "acute"
"SRR5680305" 2.4311505604575 "acute" "SRR5680305" 4.15735826141263 "acute"
"SRR5680306" 3.01008447158255 "conv" "SRR5680306" 5.11890887897458 "conv"
"SRR5680307" 3.00500921090379 "conv" "SRR5680307" 5.08496196158868 "conv"
"SRR5680308" 2.38333515343069 "acute" "SRR5680308" 4.01411724362078 "acute"
"SRR5680309" 2.34495660139205 "acute" "SRR5680309" 3.93007013122063 "acute"
"SRR5680310" 2.92460676546667 "conv" "SRR5680310" 4.4683897302502 "conv"
"SRR5680311" 2.93852429829772 "conv" "SRR5680311" 4.47645757821453 "conv"
"SRR5680312" 2.33773616429489 "acute" "SRR5680312" 3.34577383893803 "acute"
"SRR5680313" 2.30324863153571 "acute" "SRR5680313" 3.30804007649082 "acute"
"SRR5680314" 2.73429502495491 "conv" "SRR5680314" 4.28112251683135 "conv"
"SRR5680315" 2.72522331658232 "conv" "SRR5680315" 4.21240447040494 "conv"
"SRR5680316" 2.15093412903927 "acute" "SRR5680316" 3.41375214086041 "acute"
"SRR5680317" 2.11266368633358 "acute" "SRR5680317" 3.31284418280166 "acute"
"SRR5680318" 2.4478195784549 "conv" "SRR5680318" 3.63830968111833 "conv"
"SRR5680319" 2.46052647082381 "conv" "SRR5680319" 3.63489593843695 "conv"
"SRR5680320" 2.86787873639327 "acute" "SRR5680320" 4.59781932629062 "acute"
"SRR5680321" 2.69106796230311 "acute" "SRR5680321" 4.22384331506743 "acute"
"SRR5680322" 2.97586693932023 "conv" "SRR5680322" 5.12392538337786 "conv"
"SRR5680323" 2.94834978655821 "conv" "SRR5680323" 5.02081855633736 "conv"
"SRR5680324" 2.34990700145179 "acute" "SRR5680324" 4.01688728782905 "acute"
"SRR5680325" 2.27823101076379 "acute" "SRR5680325" 3.93547611727404 "acute"
"SRR5680326" 2.37490431121617 "conv" "SRR5680326" 4.25301491042026 "conv"
"SRR5680327" 2.37209403508632 "conv" "SRR5680327" 4.16961715813578 "conv"
"SRR5680328" 2.29103548383413 "acute" "SRR5680328" 3.0763987201551 "acute"
"SRR5680329" 2.25356714161893 "acute" "SRR5680329" 3.01644293413421 "acute"
"SRR5680330" 3.11644808219733 "conv" "SRR5680330" 5.22180040349894 "conv"
"SRR5680331" 3.03689085617953 "conv" "SRR5680331" 4.98944850485284 "conv"
"SRR5680332" 2.33004532033065 "acute" "SRR5680332" 3.59025701886736 "acute"
"SRR5680333" 2.28092125934746 "acute" "SRR5680333" 3.48474698166629 "acute"
"SRR5680334" 2.90063743755105 "conv" "SRR5680334" 4.51091594076834 "conv"
"SRR5680335" 2.92437732778422 "conv" "SRR5680335" 4.49763430665351 "conv"
"SRR5680336" 2.30493349284558 "acute" "SRR5680336" 3.58531680724479 "acute"
"SRR5680337" 2.27416175438469 "acute" "SRR5680337" 3.51954038779166 "acute"
"SRR5680338" 2.80090814528957 "conv" "SRR5680338" 4.69917440931902 "conv"
"SRR5680339" 2.74871482285855 "conv" "SRR5680339" 4.51685063238407 "conv"
"SRR5680340" 3.32466426701701 "acute" "SRR5680340" 5.42137476286017 "acute"
"SRR5680341" 3.02483766236654 "acute" "SRR5680341" 4.73922594950838 "acute"
"SRR5680342" 3.26154579067522 "conv" "SRR5680342" 5.25461175484761 "conv"
"SRR5680343" 3.25172342592709 "conv" "SRR5680343" 5.18486932330758 "conv"
"SRR5680346" 3.11657425651218 "conv" "SRR5680346" 4.57857579238625 "conv"
"SRR5680347" 3.12628868522482 "conv" "SRR5680347" 4.61477732980562 "conv"
"SRR5680348" 2.71126504290005 "acute" "SRR5680348" 4.14352587954652 "acute"
"SRR5680349" 2.67081253223345 "acute" "SRR5680349" 4.08266210392405 "acute"
